Ref,Val,Package,PosX,PosY,Rot,Side
"C317","1uF","C_0603_1608Metric",302.450000,-115.275000,-90.000000,bottom
"C318","1uF","C_0603_1608Metric",306.450000,-115.275000,-90.000000,bottom
"C319","1uF","C_0603_1608Metric",310.450000,-115.275000,-90.000000,bottom
"C320","1uF","C_0603_1608Metric",314.450000,-115.275000,-90.000000,bottom
"C321","1uF","C_0603_1608Metric",318.450000,-115.275000,-90.000000,bottom
"C322","1uF","C_0603_1608Metric",322.450000,-115.275000,-90.000000,bottom
"C323","1uF","C_0603_1608Metric",326.450000,-115.275000,-90.000000,bottom
"C324","1uF","C_0603_1608Metric",330.450000,-115.275000,-90.000000,bottom
"C325","1uF","C_0603_1608Metric",334.450000,-115.275000,-90.000000,bottom
"C326","1uF","C_0603_1608Metric",338.450000,-115.275000,-90.000000,bottom
"C327","1uF","C_0603_1608Metric",342.450000,-115.275000,-90.000000,bottom
"C328","1uF","C_0603_1608Metric",346.450000,-115.275000,-90.000000,bottom
"C329","1uF","C_0603_1608Metric",350.450000,-115.275000,-90.000000,bottom
"C330","1uF","C_0603_1608Metric",354.450000,-115.275000,-90.000000,bottom
"C331","1uF","C_0603_1608Metric",358.450000,-115.275000,-90.000000,bottom
"C332","1uF","C_0603_1608Metric",362.450000,-115.275000,-90.000000,bottom
"C333","1uF","C_0603_1608Metric",366.450000,-115.275000,-90.000000,bottom
"C334","1uF","C_0603_1608Metric",370.450000,-115.275000,-90.000000,bottom
"C335","1uF","C_0603_1608Metric",374.450000,-115.275000,-90.000000,bottom
"C336","1uF","C_0603_1608Metric",378.450000,-115.275000,-90.000000,bottom
"C337","1uF","C_0603_1608Metric",382.450000,-115.275000,-90.000000,bottom
"C338","1uF","C_0603_1608Metric",386.450000,-115.275000,-90.000000,bottom
"C339","1uF","C_0603_1608Metric",390.450000,-115.275000,-90.000000,bottom
"C340","1uF","C_0603_1608Metric",394.450000,-115.275000,-90.000000,bottom
"C341","1uF","C_0603_1608Metric",398.450000,-115.275000,-90.000000,bottom
"C342","1uF","C_0603_1608Metric",402.450000,-115.275000,-90.000000,bottom
"C343","1uF","C_0603_1608Metric",406.450000,-115.275000,-90.000000,bottom
"C344","1uF","C_0603_1608Metric",410.450000,-115.275000,-90.000000,bottom
"C345","1uF","C_0603_1608Metric",414.450000,-115.275000,-90.000000,bottom
"C346","1uF","C_0603_1608Metric",418.450000,-115.275000,-90.000000,bottom
